Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLMR,Myakka River S.P.,27.2330,-82.2360,1200,16.6667,,
TXBZ,Brazos Bend,29.3734,-95.6688,1117,8.9719,"HC, ",
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,1083,3.0230,"HC, ",
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,961,4.0134,,
FLPI,Ponce Inlet,29.0623,-81.0073,900,12.0000,,
TXPM,Palmetto S.P.,29.5833,-97.5833,899,12.8889,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,839,6.7120,"HC, ",
FLFP,Fort Pierce,27.4177,-80.3828,750,8.6705,,
FLCO,Cocoa,28.3622,-80.7026,750,5.1724,,
FLLA,Lakeland,28.0261,-81.8507,750,5.4152,,
TXFR,Freeport,29.0172,-95.3551,743,3.7908,,
FLBA,Bradenton,27.5010,-82.5631,700,5.9322,,
FLLP,Lake Placid,27.2601,-81.3441,700,6.4815,,
FLNA,Naples,26.1278,-81.7645,700,6.4815,"HC, ",
MOTC,Taney County,36.6070,-93.1830,628,6.9972,,
FLSB,South Brevard County,27.8486,-80.5500,600,5.3191,,
FLEC,Econlockhatchee,28.7094,-81.1467,600,3.9088,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,600,5.8537,,
TXLK,Lake Tawakoni,32.7667,-95.9167,543,7.8696,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,521,5.9713,,
TXAU,Austin,30.1834,-97.6980,505,2.3245,,
TXWP,Westcave Preserve,30.3553,-98.0296,505,4.3723,"HC, ",
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,502,4.1402,,
VABL,Blacksburg,37.2153,-80.4690,497,4.9950,,
TXGC,Gibbons Creek,30.5833,-96.0000,484,7.5039,,
OKSE,Sequoyah,34.4985,-94.9695,470,8.7037,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,469,7.2154,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,460,3.8655,,
LABR,Baton Rouge,30.3661,-91.1194,455,3.1774,"HC, ",
OHCI,Cincinnati,39.1000,-84.3000,450,2.1531,"HC, ",
TXWK,West Kerr County,30.0809,-99.4279,433,6.7656,"HC, ",
PASL,Southern Lancaster County,39.8172,-76.1698,431,2.6605,"HC, ",
TXCY,Cypress Creek,29.9561,-95.8900,430,3.6472,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,425,3.1955,,
FLVE,Venice-Englewood,27.0048,-82.3793,420,1.7797,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,418,38.0000,,
FLCL,Clermont,28.5404,-81.7651,416,4.7273,,
FLWM,West Marion County,29.0937,-82.3538,410,4.4565,,
FLWR,Wekiva River,28.7863,-81.3679,400,4.2735,,
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,400,2.5840,,
FLCR,Crystal River,28.8712,-82.5776,400,3.6680,,
TXBN,Burnet County,30.7514,-98.2750,389,5.2925,,
TXGT,Georgetown-Andice,30.6999,-97.7395,383,4.0745,"HC, ",
NCSL,Southern Lake Norman,35.4326,-80.8702,371,3.1507,,
FLPR,Peace River,26.9243,-82.0474,350,2.8340,,
FLGA,Gainesville,29.6027,-82.3127,350,1.1725,,
FLFK,Fakahatchee,26.1486,-81.4535,350,3.0392,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,348,5.9487,"HC, ",
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,342,3.6818,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,340,2.3051,,
TXAY,Armand Bayou,29.5498,-95.0489,332,2.1987,,
KYFR,Frankfort,38.2271,-84.8525,314,10.2114,,
MDRR,Rock Run,39.6041,-76.1670,311,2.7942,,
FLFG,Flagler,29.4970,-81.2650,300,16.6667,,
FLBO,Brooksville,28.5480,-82.3245,300,3.5714,,
TXNB,New Braunfels,29.7035,-98.1249,299,6.1905,,
TXLP,Lost Pines,30.2209,-97.4397,297,4.4328,,
MSJA,Jackson,32.4476,-90.0040,286,4.1004,"HC, ",
GALO,Lake Oconee,33.6120,-83.2823,284,5.6800,,
MXEG,"El Yugo, Sinaloa, Mexico",23.2779,-106.4673,284,23.6667,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,282,4.7595,,
FLTT,Ten Thousand Islands,25.9500,-81.6200,280,2.2454,,
GACI,Cumberland Island,30.8151,-81.4673,279,3.4233,"HC, ",
TXSG,San Angelo,31.4439,-100.4823,277,4.7350,,
GAAH,Athens,33.9305,-83.3812,274,2.2929,"HC, ",
SCFH,Four Holes Swamp,33.2113,-80.4210,274,3.9567,,
CLVV,"Villavicencio, Meta, Colombia",4.1041,-73.5417,273,29.5135,,
VACL,Central Loudon,39.0905,-77.6198,270,1.4938,,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,263,3.1403,"HC, ",
PAAU,Audubon,40.1341,-75.4260,259,1.8553,"HC, ",
KYRA,Russell-Adair County,36.9658,-85.1217,258,7.8779,,
GASV,"Savannah, GA-SC",32.0842,-81.0667,257,1.2415,,
TXST,San Antonio,29.3148,-98.6080,257,3.0964,,
VAWA,Walkerton,37.6809,-77.0313,256,3.6571,,
OHPC,Paint Creek Area,39.2622,-83.4450,254,7.8154,"HC, ",
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,253,2.3868,,
FLWV,West Volusia County,29.0543,-81.3039,250,3.7037,,
ARMH,Mountain Home,36.3862,-92.4672,250,7.3529,,
LANO,New Orleans,30.0236,-89.9167,247,3.1266,"HC, ",
TXBO,Boerne,29.8666,-98.7901,245,2.4648,,
TNNA,Nashville,36.0545,-86.9287,244,2.6307,,
CROP,"Osa Peninsula, Puntarenas, Costa Rica",8.4665,-83.3549,243,3.5217,,
CRCF,"Western Cloud Forest, Balsa, Costa Rica",10.1855,-84.5160,240,1.4652,,
FLSP,St. Petersburg,27.7991,-82.6794,240,1.1594,,
MDSM,Sugarloaf Mountain,39.2841,-77.3920,238,1.4714,,
TNHI,Hiwassee,35.3655,-84.9200,238,4.9583,"HC, ",
ECNM,"Mindo-Tandayapa, Pichincha, Ecuador",-0.0542,-78.6821,236,0.6146,,
SCSI,Sea Islands,32.6296,-80.1146,232,2.2361,,
TXNA,Nacogdoches,31.5332,-94.6563,231,2.1389,,
TXWA,Waco,31.5194,-97.0451,230,3.7398,,
FLJC,Jackson County,30.8916,-85.1612,230,2.9206,,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,230,6.9697,,
FLJA,Jacksonville,30.4152,-81.4877,230,2.4211,"HC, ",
FLWP,West Palm Beach,26.5672,-80.1270,230,1.9742,,
MDPT,Port Tobacco,38.4833,-77.0333,229,3.6349,,
VACN,Calmes Neck,39.1242,-77.8913,229,1.4517,,
VAFB,Fort Belvoir,38.7090,-77.1939,228,0.7250,,
VALY,Lynchburg,37.3986,-79.1942,227,2.3646,,
TNDK,DeKalb County,36.0200,-85.8500,227,3.4007,,
MSSL,Sardis Lake,34.4369,-89.7010,226,4.3671,,
TXLG,Longview,32.3765,-94.7162,223,2.9342,,
TNWC,Warren County,35.6748,-85.7770,222,7.9286,,
NCCP,Chapel Hill,35.9131,-79.0558,221,1.5786,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,220,0.8000,"HC, ",
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,220,15.7031,,
FLAL,Alafia Banks,27.7920,-82.3349,220,3.0429,,
CRPR,"Rainforest Adventures Pacific, Costa Rica",9.7469,-84.5654,219,9.9772,,
MDCV,Chesterville,39.2762,-75.9153,217,1.6822,"HC, ",
TNCV,Cookeville,36.1448,-85.4747,212,2.7532,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,209,2.1005,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,206,3.4915,,
TXTN,Trinity River,30.2860,-94.9800,204,3.5478,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,202,4.2304,,
FLSR,Sarasota,27.2988,-82.4976,200,1.5152,,
FLEP,East Pasco,28.3103,-82.2374,200,5.5556,,
FLLW,Lake Wales,27.8939,-81.5189,200,2.0833,,
FLDB,Daytona Beach,29.2629,-81.1173,200,10.5263,,
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,200,53.3333,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,200,1.8824,,
TXLO,Lake O' the Pines,32.8001,-94.5947,198,2.8185,,
PACB,Central Bucks County,40.3102,-75.1017,194,1.7168,,
TXFB,Fort Clark Springs-Brackettville,29.3052,-100.4204,192,14.4906,,
TXPS,Palestine,31.7624,-95.7664,191,14.6923,,
VABK,Brooke,38.3703,-77.3287,187,1.9788,"HC, ",
MXCZ,"Coast of Central Veracruz, Mexico",19.3100,-96.2844,187,8.5000,,
NCJL,Jordan Lake,35.6950,-79.0433,186,1.4391,"HC, ",
NJSA,Salem,39.6140,-75.4142,184,2.4781,,
TXFW,Fort Worth,32.7661,-97.4715,184,1.4264,,
MDSE,Seneca,39.0671,-77.3285,183,0.7177,,
GABL,Bainbridge-Lake Seminole,30.8850,-84.6315,181,4.2093,,
VACA,Charlottesville,38.0668,-78.5667,180,1.2587,,
OHAC,Adams County,38.7953,-83.5461,178,2.1065,,
AZNO,Nogales,31.4338,-110.9358,175,3.1250,,
FLKV,Kissimmee Valley,28.2062,-81.3936,175,4.6053,,
FLNP,North Pinellas,28.0672,-82.7388,175,1.2868,,
TXBF,Buffalo Bayou,29.7715,-95.5699,171,1.1793,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,170,2.9310,,
VAMB,Manassas-Bull Run,38.8387,-77.4315,170,1.0510,,
FLBR,Babcock Ranch Preserve,26.8700,-81.7200,170,15.4545,,
AZGR,Gila River,33.3071,-112.6833,169,0.7664,"HC, ",
TNFC,Fayette County,35.1209,-89.3470,169,4.3613,,
PAWC,West Chester,39.9600,-75.6047,167,1.3432,"HC, ",
KYEA,East Allen County,36.7426,-86.0686,164,3.5269,,
ARML,Magnolia-Lake Columbia,33.2684,-93.2832,162,4.1013,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,161,0.6240,,
VAHO,Hopewell,37.3670,-77.2842,161,1.5631,,
MXPB,"Playa Blanca-Barra de Potosi, Guerrero, Mexico",17.5378,-101.4414,160,6.0377,,
ECBM,"Los Bancos-Milpe, Pichincha, Ecuador",0.0318,-78.9026,159,1.2231,,
TXCC,Corpus Christi,27.8334,-97.5833,159,1.4654,,
MDBO,Bowie,38.9927,-76.7852,157,0.5647,,
SCHH,Hilton Head Island,32.2000,-80.7500,157,0.9075,,
SCLW,Lake Wateree,34.3548,-80.8368,157,6.2800,,
TXGR,Granger,30.7062,-97.4019,157,1.5347,"HC, ",
FLSA,St. Augustine,29.9333,-81.3162,156,1.4444,,
VAWR,Warren,37.8500,-78.5500,154,2.0881,,
GAGC,Glynn County,31.1128,-81.4261,154,2.2319,,
FLST,Stuart,27.2121,-80.2624,150,0.9554,,
PAHM,Hamburg,40.5994,-75.9269,150,1.3507,"HC, ",
PARD,Reading,40.3667,-75.8667,149,1.3128,,
TXUC,Uvalde County,29.2096,-99.7862,149,4.5152,"HC, ",
TNWH,White County,35.9082,-85.5980,148,2.9020,,
NCKL,Kerr Lake,36.5068,-78.3477,147,2.0276,,
SCAB,Ace Basin,32.6126,-80.4813,146,2.1314,,
VACC,Cape Charles,37.1899,-75.9410,145,1.3679,,
MDOC,Ocean City,38.3128,-75.2122,144,0.6590,,
ARHB,Holla Bend N.W.R.,35.1660,-93.1382,144,1.8170,,
VALA,Lake Anna,38.0850,-77.8139,143,3.1778,"HC, ",
TXLS,La Sal Vieja,26.4849,-97.9649,143,1.3587,,
TXHU,Huntsville,30.7156,-95.5520,141,3.2867,,
TNBR,Buffalo River,35.3001,-87.4573,140,2.4454,,
GAAU,Augusta,33.4393,-82.0239,140,1.7688,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,140,10.5660,,
FLDC,Dade County,25.8402,-80.1883,140,1.4660,,
PAYS,York Springs,40.0433,-77.0958,139,1.9306,,
VAAC,Augusta County,38.2046,-78.9913,138,2.2810,,
TXCS,College Station,30.5930,-96.3175,137,1.4497,,
MXDU,"Durango, Mexico",24.0000,-104.6700,136,3.0330,,
MSLC,Lauderdale County,32.4676,-88.7230,136,4.4228,,
TNNL,Nickajack Lake,35.0664,-85.5113,135,2.1600,,
OHOX,Oxford,39.5078,-84.7169,135,2.3684,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,134,1.1806,,
FLLO,Long Pine Key,25.3568,-80.7186,133,4.7500,,
TXBU,Bell County,30.9667,-97.4500,132,2.8541,,
VAWI,Williamsburg,37.2792,-76.6987,132,1.0539,,
FLSM,St. Marks,30.1536,-84.2227,131,1.4886,,
SCCA,Charleston,32.9333,-79.7000,131,1.4802,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,130,0.9848,,
MSNO,Noxubee N.W.R.,33.2784,-88.7929,129,1.6753,,
TNNO,Norris,36.2242,-84.0927,129,4.0952,,
LASH,Shreveport,32.5371,-93.8922,127,1.8676,,
ARAR,Arkadelphia,34.1333,-93.0500,127,2.1897,,
TNCL,Clarksville,36.5000,-87.3833,127,2.6240,,
MSNA,Natchez,31.6167,-91.3792,126,2.8636,,
KYLE,Lexington,37.9227,-84.4719,126,0.9902,,
TNCO,Columbia,35.5990,-87.1613,124,3.2848,,
LACB,Claiborne,32.7800,-92.9500,124,1.9165,,
TXDR,Del Rio,29.4651,-100.9585,123,4.3929,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,123,3.6176,,
TXBC,Balcones Canyonlands,30.6042,-98.0179,122,0.9295,"HC, ",
TXKI,Kingsville,27.4658,-97.8551,121,1.5259,,
FLCB,Choctawhatchee Bay,30.4462,-86.5182,120,0.7856,"HC, ",
CLBU,"Bucaramanga, Santander, Colombia",7.0675,-73.0886,120,6.8571,,
NCDU,Durham,36.0868,-78.8907,119,1.0531,,
OHMI,Millersburg,40.5416,-81.9270,118,0.4322,,
MDPR,Patuxent River,38.3406,-76.5037,117,1.7594,,
FLTA,Tampa,28.0107,-82.4595,115,3.0223,,
NJPR,Princeton,40.3410,-74.6649,115,0.7023,"HC, ",
LADA,D'Arbonne,32.6583,-92.2410,114,1.4440,,
TXTY,Tyler,32.2777,-95.2991,114,1.2391,,
NJSU,Sussex County,41.1186,-74.6385,114,1.0270,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,113,1.7937,,
